datetime,ticker,size,price
2024-12-18,65,17.044,1
2024-12-19,-65,16.856,1
2024-12-20,-146,9.452,0
2024-12-23,146,9.51,0
2024-12-24,-160,9.605,0
2024-12-25,160,9.596,0
2024-12-26,-152,9.49,0
2024-12-27,152,9.759,0
2024-12-30,-147,9.711,0
2024-12-31,147,9.855,0
2025-01-02,-165,9.51,0
2025-01-03,165,9.49,0
2025-01-06,159,9.423,0
2025-01-07,-159,9.347,0
2025-01-08,160,9.567,0
2025-01-09,-160,9.385,0
2025-01-10,66,14.847,1
2025-01-13,-66,15.104,1
2025-01-14,169,9.452,0
2025-01-15,-169,9.385,0
2025-01-16,-157,9.404,0
2025-01-17,157,9.27,0
2025-01-20,-165,9.394,0
2025-01-21,165,9.222,0
2025-01-22,-161,9.241,0
2025-01-23,161,9.529,0
2025-01-24,159,9.423,0
2025-01-27,-159,9.672,0
2025-02-05,-167,9.442,0
2025-02-06,167,9.251,0
2025-02-07,-165,9.232,0
2025-02-10,165,9.212,0
2025-02-11,150,9.299,0
2025-02-12,-150,9.251,0
2025-02-13,153,9.193,0
2025-02-14,-153,9.27,0
2025-02-17,145,9.653,0
2025-02-18,-145,9.96,0
2025-02-19,-63,15.995,1
2025-02-20,63,15.777,1
2025-02-21,-150,9.759,0
2025-02-24,150,9.759,0
2025-02-25,-148,9.701,0
2025-02-26,148,9.557,0
2025-02-27,147,9.768,0
2025-02-28,-147,9.759,0
2025-03-03,148,9.625,0
2025-03-04,-148,9.74,0
2025-03-05,141,9.663,0
2025-03-06,-141,9.49,0
2025-03-07,-149,9.385,0
2025-03-10,149,9.337,0
2025-03-11,138,9.299,0
2025-03-12,-138,9.327,0
2025-03-13,141,9.337,0
2025-03-14,-141,9.318,0
2025-03-17,146,9.26,0
2025-03-18,-146,9.241,0
2025-03-19,148,9.375,0
2025-03-20,-148,9.327,0
2025-03-21,-59,17.737,1
2025-03-24,59,18.529,1
2025-03-25,61,19.122,1
2025-03-26,-61,18.756,1
2025-03-27,-138,9.97,0
2025-03-28,138,10.161,0
2025-03-31,-140,10.219,0
2025-04-01,140,10.296,0
2025-04-02,-139,10.027,0
2025-04-03,139,9.979,0
2025-04-07,61,15.906,1
2025-04-08,-61,15.688,1
2025-04-09,74,16.034,1
2025-04-10,-74,16.212,1
2025-04-11,152,9.855,0
2025-04-14,-152,9.826,0
2025-04-15,141,9.864,0
2025-04-16,-141,10.027,0
2025-04-17,139,9.96,0
2025-04-18,-139,9.931,0
2025-04-21,143,9.855,0
2025-04-22,-143,9.883,0
2025-04-23,-137,9.931,0
2025-04-24,137,9.893,0
2025-04-25,135,10.046,0
2025-04-28,-135,10.238,0
2025-04-29,-131,10.315,0
2025-04-30,131,10.382,0
2025-05-06,-135,10.401,0
2025-05-07,135,10.286,0
2025-05-08,-137,10.353,0
2025-05-09,137,10.487,0
2025-05-12,-130,10.363,0
2025-05-13,130,10.363,0
2025-05-14,128,10.257,0
2025-05-15,-128,10.411,0
2025-05-16,123,10.372,0
2025-05-19,-123,10.42,0
2025-05-20,126,10.411,0
2025-05-21,-126,10.535,0
2025-05-22,-130,10.708,0
2025-05-23,130,10.612,0
2025-05-26,-54,16.401,1
2025-05-27,54,15.945,1
2025-05-28,-126,10.794,0
2025-05-29,126,10.794,0
2025-05-30,-124,10.967,0
2025-06-03,124,10.737,0
2025-06-04,-127,10.756,0
2025-06-05,127,10.756,0
2025-06-06,-125,10.737,0
2025-06-09,125,10.602,0
2025-06-10,122,10.535,0
2025-06-11,-122,10.65,0
2025-06-12,112,10.689,0
2025-06-13,-112,10.775,0
2025-06-16,113,10.526,0
2025-06-17,-113,10.497,0
2025-06-18,114,10.574,0
2025-06-19,-114,10.631,0
2025-06-20,116,10.66,0
2025-06-23,-116,10.526,0
2025-06-24,116,10.439,0
2025-06-25,-116,10.439,0
2025-06-26,111,10.43,0
2025-06-27,-111,10.228,0
2025-06-30,113,10.219,0
2025-07-01,-113,10.257,0
2025-07-02,112,10.046,0
2025-07-03,-112,9.998,0
2025-07-04,113,9.97,0
2025-07-07,-113,10.008,0
2025-07-08,108,9.74,0
2025-07-09,-108,9.855,0
2025-07-10,-45,18.39,1
2025-07-11,45,18.33,1
2025-07-14,-105,10.248,0
2025-07-15,105,10.276,0
2025-07-16,-106,10.449,0
2025-07-17,106,10.152,0
2025-07-18,-107,10.267,0
2025-07-21,107,10.123,0
2025-07-22,-113,10.104,0
2025-07-23,113,10.066,0
2025-07-24,102,9.95,0
2025-07-25,-102,9.864,0
2025-07-28,-44,18.8,1
2025-07-29,44,18.82,1
2025-07-30,101,9.768,0
2025-07-31,-101,9.663,0
2025-08-01,113,9.663,0
2025-08-04,-113,9.73,0
2025-08-05,106,9.74,0
2025-08-06,-106,9.77,0
2025-08-07,99,9.75,0
2025-08-08,-99,9.76,0
2025-08-11,-101,9.63,0
2025-08-12,101,9.63,0
2025-08-13,100,9.65,0
2025-08-14,-100,9.57,0
2025-08-15,105,9.45,0
2025-08-18,-105,9.47,0
2025-08-19,103,9.42,0
2025-08-20,-103,9.36,0
2025-08-21,94,9.4,0
2025-08-22,-94,9.37,0
2025-08-25,92,9.47,0
2025-08-26,-92,9.48,0
2025-08-27,-39,18.89,1
2025-08-28,39,20.38,1
2025-08-29,-37,22.42,1
2025-09-01,37,23.84,1
2025-09-02,90,9.23,0
2025-09-03,-90,9.16,0
2025-09-04,86,9.24,0
2025-09-05,-86,9.1,0
2025-09-08,-90,9.15,0
2025-09-09,90,9.15,0
2025-09-10,86,9.18,0
2025-09-11,-86,9.11,0
2025-09-12,-85,9.15,0
2025-09-15,85,8.9,0
2025-09-16,-87,8.84,0
2025-09-17,87,8.76,0
2025-09-18,82,8.71,0
2025-09-19,-82,8.7,0
2025-09-22,85,8.53,0
2025-09-23,-85,8.6,0
2025-09-24,78,8.66,0
2025-09-25,-78,8.65,0
2025-09-26,79,8.69,0
2025-09-29,-79,8.7,0
2025-09-30,81,8.61,0
2025-10-09,-81,8.64,0
2025-10-10,-75,8.75,0
2025-10-13,75,8.88,0
2025-10-14,-72,9.04,0
2025-10-15,72,9.02,0
2025-10-16,-78,9.14,0
2025-10-17,78,9.23,0
2025-10-20,-76,9.13,0
2025-10-21,76,9.01,0
2025-10-22,-78,9.28,0
2025-10-23,78,9.24,0
2025-10-24,32,26.9,1
2025-10-27,-32,27.48,1
2025-10-28,-73,9.52,0
2025-10-29,73,9.49,0
2025-10-30,-73,9.39,0
2025-10-31,73,9.33,0
2025-11-03,-75,9.41,0
2025-11-04,75,9.53,0
2025-11-05,-75,9.47,0
2025-11-06,75,9.49,0
2025-11-07,75,9.43,0
2025-11-10,-75,9.51,0
2025-11-11,-68,9.54,0
2025-11-12,68,9.56,0
2025-11-13,-70,9.37,0
2025-11-14,70,9.4,0
2025-11-17,68,9.3,0
2025-11-18,-68,9.38,0
2025-11-19,70,9.43,0
2025-11-20,-70,9.53,0
2025-11-21,69,9.45,0
2025-11-24,-69,9.4,0
2025-11-25,-71,9.3,0
2025-11-26,71,9.27,0
2025-11-27,64,9.28,0
2025-11-28,-64,9.18,0
2025-12-01,65,9.12,0
2025-12-02,-65,9.16,0
2025-12-03,63,9.26,0
2025-12-04,-63,9.18,0
2025-12-05,65,9.08,0
2025-12-08,-65,9.06,0
2025-12-09,64,8.98,0
2025-12-10,-64,9.3,0
2025-12-11,61,9.4,0
2025-12-12,-61,8.98,0
2025-12-15,28,25.73,1
2025-12-16,-28,25.62,1
2025-12-17,28,26.23,1
2025-12-18,-28,26.1,1
2025-12-19,64,9.37,0
2025-12-22,-64,9.42,0
2025-12-23,-61,9.47,0
2025-12-24,61,9.58,0
2025-12-25,-61,9.66,0
2025-12-26,61,9.71,0
2025-12-29,-60,9.75,0
2025-12-30,60,9.72,0
2025-12-31,-62,9.75,0
