datetime,ticker,size,price
2025-07-01,4,1.473,3
2025-07-02,-1,10.046,0
2025-07-03,2,9.998,0
2025-07-04,-1,9.97,0
2025-07-07,9,8.42,4
2025-07-08,-1,9.74,0
2025-07-09,3,9.855,0
2025-07-10,-4,10.046,0
2025-07-11,-7,1.63,3
2025-07-14,2,1.61,3
2025-07-15,1,17.8,1
2025-07-16,2,1.56,3
2025-07-17,-4,1.57,3
2025-07-18,4,10.267,0
2025-07-21,-3,10.123,0
2025-07-22,2,10.104,0
2025-07-23,-1,18.12,1
2025-07-24,-1,9.95,0
2025-07-25,-1,18.66,1
2025-07-28,-1,9.797,0
2025-07-29,1,1.66,3
2025-07-30,-4,1.65,3
2025-07-31,2,17.55,1
2025-08-01,-1,9.663,0
2025-08-04,-4,1.6,3
2025-08-05,1,1.6,3
2025-08-06,1,9.77,0
2025-08-07,-5,9.75,0
2025-08-08,-1,1.63,3
2025-08-11,-14,9.82,4
2025-08-12,1,9.63,0
2025-08-13,5,1.64,3
2025-08-14,1,1.61,3
2025-08-15,1,18.38,1
2025-08-18,-2,18.51,1
2025-08-19,-1,9.42,0
2025-08-20,1,386.395,2
2025-08-21,1,9.4,0
2025-08-22,-1,9.37,0
2025-08-25,1,9.47,0
2025-08-26,1,1.71,3
2025-08-27,-1,9.36,0
2025-08-28,4,1.65,3
2025-08-29,2,9.12,0
2025-09-01,-1,23.84,1
2025-09-02,-3,9.23,0
2025-09-03,3,24.05,1
2025-09-04,3,1.6,3
2025-09-05,-1,9.1,0
2025-09-08,5,9.15,0
2025-09-09,-3,9.15,0
2025-09-10,-3,1.63,3
2025-09-11,4,26.57,1
2025-09-12,2,9.15,0
2025-09-15,-3,8.9,0
2025-09-16,3,8.84,0
2025-09-17,-2,8.76,0
2025-09-18,1,8.71,0
2025-09-19,-2,8.7,0
2025-09-22,10,1.71,3
2025-09-23,2,8.6,0
2025-09-24,-2,8.66,0
2025-09-25,-2,27.75,1
2025-09-26,-42,13.8,4
2025-09-29,-2,1.65,3
2025-09-30,1,8.61,0
2025-10-09,-1,30.79,1
2025-10-10,2,27.71,1
2025-10-13,-3,8.88,0
2025-10-14,-3,26.3,1
2025-10-15,-6,1.83,3
2025-10-16,3,9.14,0
2025-10-17,-1,9.23,0
2025-10-20,-2,9.13,0
2025-10-21,4,9.01,0
2025-10-22,1,9.28,0
2025-10-23,-5,9.24,0
2025-10-24,3,9.32,0
2025-10-27,2,1.76,3
2025-10-28,-3,1.75,3
2025-10-29,-2,9.49,0
2025-10-30,2,9.39,0
2025-10-31,8,17.04,4
2025-11-03,-1,9.41,0
2025-11-04,1,27.94,1
2025-11-05,-1,9.47,0
2025-11-06,2,9.49,0
2025-11-07,4,1.76,3
2025-11-10,-1,29.75,1
2025-11-11,-1,9.54,0
2025-11-12,-2,1.79,3
2025-11-13,3,1.81,3
2025-11-14,2,9.4,0
